outcome_id,incident_id,episode_id,known_error_id,scenario_pattern,entity_id,recommendation,approval_decision,human_modification,action_performed,outcome,recovery_minutes,recurrence_within_24h,prior_confidence,evidence_usefulness_score,recorded_at,data_classification
OUT-000058,INC-000058,EP-000058,KE-0032,CAPACITY_EXHAUSTION,CLOUD-0192,SCALE_CAPACITY,APPROVED,CHANGED_REMEDIATION,SCALE_CAPACITY,RESOLVED,139,False,,0.938,2024-01-01T18:57:00+00:00,SYNTHETIC
OUT-000059,INC-000059,EP-000059,KE-0032,CAPACITY_EXHAUSTION,CLOUD-0199,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,RESOLVED,105,False,,0.921,2024-01-01T18:40:00+00:00,SYNTHETIC
OUT-000060,INC-000060,EP-000060,KE-0032,CAPACITY_EXHAUSTION,CLOUD-0206,RESTART_COMPONENT,APPROVED,,RESTART_COMPONENT,NOT_RESOLVED,386,False,,0.734,2024-01-01T23:38:00+00:00,SYNTHETIC
OUT-000061,INC-000061,EP-000061,KE-0032,CAPACITY_EXHAUSTION,CLOUD-0213,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,RESOLVED,100,False,,0.499,2024-01-01T19:09:00+00:00,SYNTHETIC
OUT-000062,INC-000062,EP-000062,KE-0032,CAPACITY_EXHAUSTION,CLOUD-0220,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,RESOLVED,117,False,,0.496,2024-01-01T19:43:00+00:00,SYNTHETIC
OUT-000063,INC-000063,EP-000063,KE-0032,CAPACITY_EXHAUSTION,CLOUD-0227,SCALE_CAPACITY,APPROVED,,SCALE_CAPACITY,RESOLVED,39,False,,0.818,2024-01-01T18:42:00+00:00,SYNTHETIC
OUT-000064,INC-000064,EP-000064,KE-0033,CERTIFICATE_EXPIRY,COMP-0045,ROTATE_CERTIFICATE,APPROVED,,ROTATE_CERTIFICATE,RESOLVED,133,False,,0.789,2024-01-01T20:33:00+00:00,SYNTHETIC
OUT-000065,INC-000065,EP-000065,KE-0033,CERTIFICATE_EXPIRY,COMP-0052,ROTATE_CERTIFICATE,APPROVED,,ROTATE_CERTIFICATE,RESOLVED,185,False,,0.663,2024-01-01T21:42:00+00:00,SYNTHETIC
OUT-000066,INC-000066,EP-000066,KE-0033,CERTIFICATE_EXPIRY,COMP-0059,RESTART_COMPONENT,APPROVED,,RESTART_COMPONENT,NOT_RESOLVED,586,False,,0.832,2024-01-02T04:40:00+00:00,SYNTHETIC
OUT-000067,INC-000067,EP-000067,KE-0033,CERTIFICATE_EXPIRY,COMP-0066,ROTATE_CERTIFICATE,APPROVED,CHANGED_REMEDIATION,ROTATE_CERTIFICATE,RESOLVED,149,False,,0.639,2024-01-01T21:40:00+00:00,SYNTHETIC
OUT-000068,INC-000068,EP-000068,KE-0033,CERTIFICATE_EXPIRY,COMP-0073,ROTATE_CERTIFICATE,APPROVED,,ROTATE_CERTIFICATE,RESOLVED,55,False,,0.856,2024-01-01T20:23:00+00:00,SYNTHETIC
OUT-000069,INC-000069,EP-000069,KE-0033,CERTIFICATE_EXPIRY,COMP-0080,ROTATE_CERTIFICATE,APPROVED,,ROTATE_CERTIFICATE,RESOLVED,102,False,,0.731,2024-01-01T21:27:00+00:00,SYNTHETIC
OUT-000070,INC-000070,EP-000070,KE-0033,CERTIFICATE_EXPIRY,COMP-0087,ROTATE_CERTIFICATE,APPROVED,,ROTATE_CERTIFICATE,RESOLVED,56,False,,0.404,2024-01-01T20:58:00+00:00,SYNTHETIC
OUT-000071,INC-000071,EP-000071,KE-0033,CERTIFICATE_EXPIRY,COMP-0094,ROTATE_CERTIFICATE,APPROVED,CHANGED_REMEDIATION,ROTATE_CERTIFICATE,RESOLVED,34,False,,0.524,2024-01-01T20:53:00+00:00,SYNTHETIC
OUT-000072,INC-000072,EP-000072,KE-0033,CERTIFICATE_EXPIRY,COMP-0101,RESTART_COMPONENT,APPROVED,,RESTART_COMPONENT,NOT_RESOLVED,236,False,,0.947,2024-01-02T00:32:00+00:00,SYNTHETIC
OUT-000073,INC-000073,EP-000073,KE-0033,CERTIFICATE_EXPIRY,COMP-0108,ROTATE_CERTIFICATE,APPROVED,,ROTATE_CERTIFICATE,RESOLVED,67,False,,0.707,2024-01-01T22:00:00+00:00,SYNTHETIC
OUT-000074,INC-000074,EP-000074,KE-0033,CERTIFICATE_EXPIRY,COMP-0115,ROTATE_CERTIFICATE,APPROVED,CHANGED_REMEDIATION,ROTATE_CERTIFICATE,RESOLVED,107,False,,0.629,2024-01-01T22:57:00+00:00,SYNTHETIC
OUT-000075,INC-000075,EP-000075,KE-0034,IDENTITY_DEGRADATION,VENDOR-0022,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,57,False,,0.764,2024-01-01T22:24:00+00:00,SYNTHETIC
OUT-000076,INC-000076,EP-000076,KE-0034,IDENTITY_DEGRADATION,VENDOR-0029,CLEAR_CLIENT_CACHE,APPROVED,,CLEAR_CLIENT_CACHE,NOT_RESOLVED,270,False,,0.667,2024-01-02T02:14:00+00:00,SYNTHETIC
OUT-000077,INC-000077,EP-000077,KE-0034,IDENTITY_DEGRADATION,VENDOR-0036,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,109,False,,0.936,2024-01-01T23:50:00+00:00,SYNTHETIC
OUT-000078,INC-000078,EP-000078,KE-0034,IDENTITY_DEGRADATION,VENDOR-0043,RESTORE_IDENTITY_DEPENDENCY,APPROVED,CHANGED_REMEDIATION,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,154,False,,0.685,2024-01-02T00:52:00+00:00,SYNTHETIC
OUT-000079,INC-000079,EP-000079,KE-0034,IDENTITY_DEGRADATION,VENDOR-0050,RESTORE_IDENTITY_DEPENDENCY,APPROVED,CHANGED_REMEDIATION,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,82,False,,0.644,2024-01-01T23:57:00+00:00,SYNTHETIC
OUT-000080,INC-000080,EP-000080,KE-0034,IDENTITY_DEGRADATION,VENDOR-0057,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,8,False,,0.528,2024-01-01T23:12:00+00:00,SYNTHETIC
OUT-000081,INC-000081,EP-000081,KE-0034,IDENTITY_DEGRADATION,VENDOR-0004,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,79,False,,0.437,2024-01-02T00:28:00+00:00,SYNTHETIC
OUT-000082,INC-000082,EP-000082,KE-0034,IDENTITY_DEGRADATION,VENDOR-0011,RESTORE_IDENTITY_DEPENDENCY,REJECTED,,,NOT_EXECUTED,0,False,,0.0,2024-01-01T23:46:00+00:00,SYNTHETIC
OUT-000083,INC-000083,EP-000083,KE-0034,IDENTITY_DEGRADATION,VENDOR-0018,RESTORE_IDENTITY_DEPENDENCY,APPROVED,CHANGED_REMEDIATION,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,24,False,,0.535,2024-01-02T00:07:00+00:00,SYNTHETIC
OUT-000084,INC-000084,EP-000084,KE-0034,IDENTITY_DEGRADATION,VENDOR-0025,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,60,False,,0.365,2024-01-02T01:00:00+00:00,SYNTHETIC
OUT-000085,INC-000085,EP-000085,KE-0034,IDENTITY_DEGRADATION,VENDOR-0032,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,66,False,,0.575,2024-01-02T01:23:00+00:00,SYNTHETIC
OUT-000086,INC-000086,EP-000086,KE-0034,IDENTITY_DEGRADATION,VENDOR-0039,CLEAR_CLIENT_CACHE,APPROVED,,CLEAR_CLIENT_CACHE,NOT_RESOLVED,371,False,,0.515,2024-01-02T06:45:00+00:00,SYNTHETIC
OUT-000087,INC-000087,EP-000087,KE-0034,IDENTITY_DEGRADATION,VENDOR-0046,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,NOT_RESOLVED,348,False,,0.64,2024-01-02T06:39:00+00:00,SYNTHETIC
OUT-000088,INC-000088,EP-000088,KE-0034,IDENTITY_DEGRADATION,VENDOR-0053,RESTORE_IDENTITY_DEPENDENCY,APPROVED,,RESTORE_IDENTITY_DEPENDENCY,RESOLVED,39,False,,0.562,2024-01-02T01:47:00+00:00,SYNTHETIC
OUT-000089,INC-000089,EP-000089,KE-0035,NETWORK_PATH_DEGRADATION,INFRA-0019,REROUTE_TRAFFIC,APPROVED,CHANGED_REMEDIATION,REROUTE_TRAFFIC,RESOLVED,75,False,,0.757,2024-01-02T02:40:00+00:00,SYNTHETIC
OUT-000090,INC-000090,EP-000090,KE-0035,NETWORK_PATH_DEGRADATION,INFRA-0026,RESTART_APPLICATION,APPROVED,,RESTART_APPLICATION,NOT_RESOLVED,547,False,,0.611,2024-01-02T10:49:00+00:00,SYNTHETIC
OUT-000091,INC-000091,EP-000091,KE-0035,NETWORK_PATH_DEGRADATION,INFRA-0033,REROUTE_TRAFFIC,APPROVED,,REROUTE_TRAFFIC,RESOLVED,80,False,,0.596,2024-01-02T03:19:00+00:00,SYNTHETIC
OUT-000092,INC-000092,EP-000092,KE-0035,NETWORK_PATH_DEGRADATION,INFRA-0040,REROUTE_TRAFFIC,APPROVED,,REROUTE_TRAFFIC,RESOLVED,85,False,,0.931,2024-01-02T03:41:00+00:00,SYNTHETIC
OUT-000093,INC-000093,EP-000093,KE-0035,NETWORK_PATH_DEGRADATION,INFRA-0047,REROUTE_TRAFFIC,APPROVED,CHANGED_REMEDIATION,REROUTE_TRAFFIC,RESOLVED,165,False,,0.84,2024-01-02T05:18:00+00:00,SYNTHETIC
OUT-000094,INC-000094,EP-000094,KE-0035,NETWORK_PATH_DEGRADATION,INFRA-0054,REROUTE_TRAFFIC,APPROVED,,REROUTE_TRAFFIC,RESOLVED,168,False,,0.526,2024-01-02T05:38:00+00:00,SYNTHETIC
OUT-000095,INC-000095,EP-000095,KE-0035,NETWORK_PATH_DEGRADATION,INFRA-0061,REROUTE_TRAFFIC,APPROVED,CHANGED_REMEDIATION,REROUTE_TRAFFIC,RESOLVED,85,False,,0.476,2024-01-02T04:32:00+00:00,SYNTHETIC
OUT-000096,INC-000096,EP-000096,KE-0036,EXTERNAL_VENDOR_OUTAGE,VENDOR-0056,WAIT_AND_FAILOVER,APPROVED,,WAIT_AND_FAILOVER,RESOLVED,45,False,,0.359,2024-01-02T04:09:00+00:00,SYNTHETIC
OUT-000097,INC-000097,EP-000097,KE-0036,EXTERNAL_VENDOR_OUTAGE,VENDOR-0003,WAIT_AND_FAILOVER,APPROVED,,WAIT_AND_FAILOVER,RESOLVED,18,False,,0.945,2024-01-02T04:01:00+00:00,SYNTHETIC
OUT-000098,INC-000098,EP-000098,KE-0036,EXTERNAL_VENDOR_OUTAGE,VENDOR-0010,WAIT_AND_FAILOVER,APPROVED,,WAIT_AND_FAILOVER,RESOLVED,29,True,,0.743,2024-01-02T04:27:00+00:00,SYNTHETIC
OUT-000099,INC-000099,EP-000099,KE-0036,EXTERNAL_VENDOR_OUTAGE,VENDOR-0017,WAIT_AND_FAILOVER,APPROVED,,WAIT_AND_FAILOVER,RESOLVED,15,False,,0.674,2024-01-02T04:35:00+00:00,SYNTHETIC
OUT-000100,INC-000100,EP-000100,KE-0036,EXTERNAL_VENDOR_OUTAGE,VENDOR-0024,WAIT_AND_FAILOVER,APPROVED,,WAIT_AND_FAILOVER,RESOLVED,84,False,,0.495,2024-01-02T05:56:00+00:00,SYNTHETIC
OUT-000101,INC-000101,EP-000101,KE-0036,EXTERNAL_VENDOR_OUTAGE,VENDOR-0031,WAIT_AND_FAILOVER,APPROVED,,WAIT_AND_FAILOVER,RESOLVED,115,False,,0.719,2024-01-02T06:44:00+00:00,SYNTHETIC
OUT-000102,INC-000102,EP-000102,KE-0036,EXTERNAL_VENDOR_OUTAGE,VENDOR-0038,WAIT_AND_FAILOVER,APPROVED,,WAIT_AND_FAILOVER,RESOLVED,170,False,,0.782,2024-01-02T07:56:00+00:00,SYNTHETIC
OUT-000103,INC-000103,EP-000103,KE-0036,EXTERNAL_VENDOR_OUTAGE,VENDOR-0045,RESTART_INTERNAL_SERVICE,APPROVED,,RESTART_INTERNAL_SERVICE,RESOLVED,120,False,,0.812,2024-01-02T07:23:00+00:00,SYNTHETIC
