episode_id,incident_id,true_cause_family,true_root_entity_id,true_pattern_id,correct_remediation,propagation_targets,change_id,cause_selection_stream,background_stream,data_classification
EP-000024,INC-000024,QUEUE_BACKLOG,DATA-0007,KE-0009,SCALE_CONSUMERS,"[""COMP-0001"", ""COMP-0003"", ""COMP-0007"", ""COMP-0017"", ""COMP-0018"", ""COMP-0021"", ""COMP-0023"", ""COMP-0027"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0001""]",,cause:8:0,background:EP-000024,SYNTHETIC
EP-000025,INC-000025,QUEUE_BACKLOG,DATA-0004,KE-0009,SCALE_CONSUMERS,"[""COMP-0005"", ""COMP-0012"", ""COMP-0014"", ""COMP-0015"", ""COMP-0017"", ""COMP-0025"", ""COMP-0028"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0012""]",CHG-000025,cause:8:1,background:EP-000025,SYNTHETIC
EP-000026,INC-000026,QUEUE_BACKLOG,DATA-0001,KE-0009,SCALE_CONSUMERS,"[""COMP-0001"", ""COMP-0002"", ""COMP-0004"", ""COMP-0006"", ""COMP-0010"", ""COMP-0011"", ""COMP-0016"", ""COMP-0021"", ""COMP-0026"", ""COMP-0030"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0001""]",,cause:8:2,background:EP-000026,SYNTHETIC
EP-000027,INC-000027,QUEUE_BACKLOG,DATA-0008,KE-0009,SCALE_CONSUMERS,"[""COMP-0003"", ""COMP-0005"", ""COMP-0007"", ""COMP-0014"", ""COMP-0016"", ""COMP-0017"", ""COMP-0023"", ""COMP-0026"", ""COMP-0027"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0009"", ""DATA-0010"", ""SVC-0005""]",,cause:8:3,background:EP-000027,SYNTHETIC
EP-000028,INC-000028,QUEUE_BACKLOG,DATA-0005,KE-0009,SCALE_CONSUMERS,"[""COMP-0005"", ""COMP-0015"", ""COMP-0021"", ""COMP-0025"", ""COMP-0028"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0005""]",,cause:8:4,background:EP-000028,SYNTHETIC
EP-000029,INC-000029,QUEUE_BACKLOG,DATA-0002,KE-0009,SCALE_CONSUMERS,"[""COMP-0002"", ""COMP-0003"", ""COMP-0008"", ""COMP-0012"", ""COMP-0025"", ""COMP-0028"", ""COMP-0029"", ""COMP-0030"", ""DATA-0001"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0008""]",,cause:8:5,background:EP-000029,SYNTHETIC
EP-000030,INC-000030,QUEUE_BACKLOG,DATA-0009,KE-0009,SCALE_CONSUMERS,"[""COMP-0003"", ""COMP-0009"", ""COMP-0011"", ""COMP-0013"", ""COMP-0014"", ""COMP-0017"", ""COMP-0019"", ""COMP-0029"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0010"", ""SVC-0003""]",CHG-000030,cause:8:6,background:EP-000030,SYNTHETIC
EP-000031,INC-000031,QUEUE_BACKLOG,DATA-0006,KE-0009,SCALE_CONSUMERS,"[""COMP-0001"", ""COMP-0002"", ""COMP-0003"", ""COMP-0007"", ""COMP-0021"", ""COMP-0023"", ""COMP-0028"", ""COMP-0030"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""POL-0001"", ""SVC-0001""]",CHG-000031,cause:8:7,background:EP-000031,SYNTHETIC
EP-000032,INC-000032,QUEUE_BACKLOG,DATA-0003,KE-0009,SCALE_CONSUMERS,"[""COMP-0003"", ""COMP-0013"", ""COMP-0016"", ""COMP-0019"", ""COMP-0023"", ""COMP-0028"", ""COMP-0029"", ""DATA-0001"", ""DATA-0002"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0003""]",,cause:8:8,background:EP-000032,SYNTHETIC
EP-000033,INC-000033,QUEUE_BACKLOG,DATA-0010,KE-0009,SCALE_CONSUMERS,"[""COMP-0002"", ""COMP-0003"", ""COMP-0013"", ""COMP-0021"", ""COMP-0028"", ""COMP-0030"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0007"", ""DATA-0008"", ""DATA-0009"", ""SVC-0002""]",CHG-000033,cause:8:9,background:EP-000033,SYNTHETIC
EP-000034,INC-000034,QUEUE_BACKLOG,DATA-0007,KE-0009,SCALE_CONSUMERS,"[""COMP-0001"", ""COMP-0003"", ""COMP-0007"", ""COMP-0017"", ""COMP-0018"", ""COMP-0021"", ""COMP-0023"", ""COMP-0027"", ""DATA-0001"", ""DATA-0002"", ""DATA-0003"", ""DATA-0004"", ""DATA-0005"", ""DATA-0006"", ""DATA-0008"", ""DATA-0009"", ""DATA-0010"", ""SVC-0001""]",CHG-000034,cause:8:10,background:EP-000034,SYNTHETIC
EP-000035,INC-000035,SECURE_GATEWAY_POLICY,POL-0002,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0004"", ""COMP-0006"", ""COMP-0023"", ""COMP-0025"", ""COMP-0028"", ""COMP-0030"", ""INFRA-0002"", ""INFRA-0006"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0015"", ""SVC-0016""]",CHG-000035,cause:9:0,background:EP-000035,SYNTHETIC
EP-000036,INC-000036,SECURE_GATEWAY_POLICY,POL-0001,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0002"", ""COMP-0011"", ""COMP-0018"", ""COMP-0020"", ""INFRA-0001"", ""INFRA-0005"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0011"", ""SVC-0012"", ""SVC-0014""]",CHG-000036,cause:9:1,background:EP-000036,SYNTHETIC
EP-000037,INC-000037,SECURE_GATEWAY_POLICY,POL-0004,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0006"", ""COMP-0007"", ""COMP-0018"", ""COMP-0019"", ""COMP-0021"", ""COMP-0025"", ""COMP-0030"", ""INFRA-0004"", ""INFRA-0008"", ""SVC-0001"", ""SVC-0011"", ""SVC-0012"", ""SVC-0016""]",,cause:9:2,background:EP-000037,SYNTHETIC
EP-000038,INC-000038,SECURE_GATEWAY_POLICY,POL-0003,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0014"", ""COMP-0016"", ""COMP-0023"", ""COMP-0027"", ""COMP-0030"", ""INFRA-0003"", ""INFRA-0007"", ""SVC-0002"", ""SVC-0006"", ""SVC-0008"", ""SVC-0010"", ""SVC-0011"", ""SVC-0017""]",,cause:9:3,background:EP-000038,SYNTHETIC
EP-000039,INC-000039,SECURE_GATEWAY_POLICY,POL-0002,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0004"", ""COMP-0006"", ""COMP-0023"", ""COMP-0025"", ""COMP-0028"", ""COMP-0030"", ""INFRA-0002"", ""INFRA-0006"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0015"", ""SVC-0016""]",CHG-000039,cause:9:4,background:EP-000039,SYNTHETIC
EP-000040,INC-000040,SECURE_GATEWAY_POLICY,POL-0001,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0002"", ""COMP-0011"", ""COMP-0018"", ""COMP-0020"", ""INFRA-0001"", ""INFRA-0005"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0011"", ""SVC-0012"", ""SVC-0014""]",,cause:9:5,background:EP-000040,SYNTHETIC
EP-000041,INC-000041,SECURE_GATEWAY_POLICY,POL-0004,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0006"", ""COMP-0007"", ""COMP-0018"", ""COMP-0019"", ""COMP-0021"", ""COMP-0025"", ""COMP-0030"", ""INFRA-0004"", ""INFRA-0008"", ""SVC-0001"", ""SVC-0011"", ""SVC-0012"", ""SVC-0016""]",,cause:9:6,background:EP-000041,SYNTHETIC
EP-000042,INC-000042,SECURE_GATEWAY_POLICY,POL-0003,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0014"", ""COMP-0016"", ""COMP-0023"", ""COMP-0027"", ""COMP-0030"", ""INFRA-0003"", ""INFRA-0007"", ""SVC-0002"", ""SVC-0006"", ""SVC-0008"", ""SVC-0010"", ""SVC-0011"", ""SVC-0017""]",,cause:9:7,background:EP-000042,SYNTHETIC
EP-000043,INC-000043,SECURE_GATEWAY_POLICY,POL-0002,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0004"", ""COMP-0006"", ""COMP-0023"", ""COMP-0025"", ""COMP-0028"", ""COMP-0030"", ""INFRA-0002"", ""INFRA-0006"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0015"", ""SVC-0016""]",,cause:9:8,background:EP-000043,SYNTHETIC
EP-000044,INC-000044,SECURE_GATEWAY_POLICY,POL-0001,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0002"", ""COMP-0011"", ""COMP-0018"", ""COMP-0020"", ""INFRA-0001"", ""INFRA-0005"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0011"", ""SVC-0012"", ""SVC-0014""]",,cause:9:9,background:EP-000044,SYNTHETIC
EP-000045,INC-000045,SECURE_GATEWAY_POLICY,POL-0004,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0006"", ""COMP-0007"", ""COMP-0018"", ""COMP-0019"", ""COMP-0021"", ""COMP-0025"", ""COMP-0030"", ""INFRA-0004"", ""INFRA-0008"", ""SVC-0001"", ""SVC-0011"", ""SVC-0012"", ""SVC-0016""]",CHG-000045,cause:9:10,background:EP-000045,SYNTHETIC
EP-000046,INC-000046,SECURE_GATEWAY_POLICY,POL-0003,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0014"", ""COMP-0016"", ""COMP-0023"", ""COMP-0027"", ""COMP-0030"", ""INFRA-0003"", ""INFRA-0007"", ""SVC-0002"", ""SVC-0006"", ""SVC-0008"", ""SVC-0010"", ""SVC-0011"", ""SVC-0017""]",,cause:9:11,background:EP-000046,SYNTHETIC
EP-000047,INC-000047,SECURE_GATEWAY_POLICY,POL-0002,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0004"", ""COMP-0006"", ""COMP-0023"", ""COMP-0025"", ""COMP-0028"", ""COMP-0030"", ""INFRA-0002"", ""INFRA-0006"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0015"", ""SVC-0016""]",,cause:9:12,background:EP-000047,SYNTHETIC
EP-000048,INC-000048,SECURE_GATEWAY_POLICY,POL-0001,KE-0010,ROLLBACK_GATEWAY_POLICY,"[""COMP-0002"", ""COMP-0011"", ""COMP-0018"", ""COMP-0020"", ""INFRA-0001"", ""INFRA-0005"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0011"", ""SVC-0012"", ""SVC-0014""]",CHG-000048,cause:9:13,background:EP-000048,SYNTHETIC
EP-000049,INC-000049,CONFIGURATION_DRIFT,POL-0003,KE-0011,RESTORE_GOVERNED_CONFIGURATION,"[""COMP-0014"", ""COMP-0016"", ""COMP-0023"", ""COMP-0027"", ""COMP-0030"", ""INFRA-0003"", ""INFRA-0007"", ""SVC-0002"", ""SVC-0006"", ""SVC-0008"", ""SVC-0010"", ""SVC-0011"", ""SVC-0017""]",CHG-000049,cause:10:0,background:EP-000049,SYNTHETIC
EP-000050,INC-000050,CONFIGURATION_DRIFT,POL-0002,KE-0011,RESTORE_GOVERNED_CONFIGURATION,"[""COMP-0004"", ""COMP-0006"", ""COMP-0023"", ""COMP-0025"", ""COMP-0028"", ""COMP-0030"", ""INFRA-0002"", ""INFRA-0006"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0015"", ""SVC-0016""]",CHG-000050,cause:10:1,background:EP-000050,SYNTHETIC
EP-000051,INC-000051,CONFIGURATION_DRIFT,POL-0001,KE-0011,RESTORE_GOVERNED_CONFIGURATION,"[""COMP-0002"", ""COMP-0011"", ""COMP-0018"", ""COMP-0020"", ""INFRA-0001"", ""INFRA-0005"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0011"", ""SVC-0012"", ""SVC-0014""]",CHG-000051,cause:10:2,background:EP-000051,SYNTHETIC
EP-000052,INC-000052,CONFIGURATION_DRIFT,POL-0004,KE-0011,RESTORE_GOVERNED_CONFIGURATION,"[""COMP-0006"", ""COMP-0007"", ""COMP-0018"", ""COMP-0019"", ""COMP-0021"", ""COMP-0025"", ""COMP-0030"", ""INFRA-0004"", ""INFRA-0008"", ""SVC-0001"", ""SVC-0011"", ""SVC-0012"", ""SVC-0016""]",CHG-000052,cause:10:3,background:EP-000052,SYNTHETIC
EP-000053,INC-000053,CONFIGURATION_DRIFT,POL-0003,KE-0011,RESTORE_GOVERNED_CONFIGURATION,"[""COMP-0014"", ""COMP-0016"", ""COMP-0023"", ""COMP-0027"", ""COMP-0030"", ""INFRA-0003"", ""INFRA-0007"", ""SVC-0002"", ""SVC-0006"", ""SVC-0008"", ""SVC-0010"", ""SVC-0011"", ""SVC-0017""]",CHG-000053,cause:10:4,background:EP-000053,SYNTHETIC
EP-000054,INC-000054,CONFIGURATION_DRIFT,POL-0002,KE-0011,RESTORE_GOVERNED_CONFIGURATION,"[""COMP-0004"", ""COMP-0006"", ""COMP-0023"", ""COMP-0025"", ""COMP-0028"", ""COMP-0030"", ""INFRA-0002"", ""INFRA-0006"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0015"", ""SVC-0016""]",CHG-000054,cause:10:5,background:EP-000054,SYNTHETIC
EP-000055,INC-000055,CONFIGURATION_DRIFT,POL-0001,KE-0011,RESTORE_GOVERNED_CONFIGURATION,"[""COMP-0002"", ""COMP-0011"", ""COMP-0018"", ""COMP-0020"", ""INFRA-0001"", ""INFRA-0005"", ""SVC-0002"", ""SVC-0005"", ""SVC-0006"", ""SVC-0011"", ""SVC-0012"", ""SVC-0014""]",,cause:10:6,background:EP-000055,SYNTHETIC
