relationship_id,source_entity_id,relationship_type,target_entity_id,relationship_authority,confidence,lifecycle_status,data_classification
REL-000060,SVC-0016,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000061,SVC-0017,IMPLEMENTS,APP-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000062,SVC-0017,SUPPORTS,CAP-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000063,SVC-0018,IMPLEMENTS,APP-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000064,SVC-0018,SUPPORTS,CAP-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000065,COMP-0001,PART_OF,SVC-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000066,COMP-0001,DEPENDS_ON,DATA-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000067,COMP-0001,HOSTED_ON,CLOUD-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000068,COMP-0001,ROUTED_THROUGH,INFRA-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000069,COMP-0002,PART_OF,SVC-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000070,COMP-0002,HOSTED_ON,CLOUD-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000071,COMP-0003,PART_OF,SVC-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000072,COMP-0003,DEPENDS_ON,DATA-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000073,COMP-0003,HOSTED_ON,CLOUD-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000074,COMP-0004,PART_OF,SVC-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000075,COMP-0004,HOSTED_ON,CLOUD-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000076,COMP-0004,ROUTED_THROUGH,INFRA-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000077,COMP-0005,PART_OF,SVC-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000078,COMP-0005,DEPENDS_ON,DATA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000079,COMP-0005,HOSTED_ON,CLOUD-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000080,COMP-0006,PART_OF,SVC-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000081,COMP-0006,HOSTED_ON,CLOUD-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000082,COMP-0007,PART_OF,SVC-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000083,COMP-0007,DEPENDS_ON,DATA-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000084,COMP-0007,HOSTED_ON,CLOUD-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000085,COMP-0007,ROUTED_THROUGH,INFRA-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000086,COMP-0008,PART_OF,SVC-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000087,COMP-0008,HOSTED_ON,CLOUD-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000088,COMP-0009,PART_OF,SVC-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000089,COMP-0009,DEPENDS_ON,DATA-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000090,COMP-0009,HOSTED_ON,CLOUD-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000091,COMP-0010,PART_OF,SVC-0010,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000092,COMP-0010,HOSTED_ON,CLOUD-0010,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000093,COMP-0010,ROUTED_THROUGH,INFRA-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000094,COMP-0011,PART_OF,SVC-0011,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000095,COMP-0011,DEPENDS_ON,DATA-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000096,COMP-0011,HOSTED_ON,CLOUD-0011,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000097,COMP-0012,PART_OF,SVC-0012,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000098,COMP-0012,HOSTED_ON,CLOUD-0012,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000099,COMP-0013,PART_OF,SVC-0013,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000100,COMP-0013,DEPENDS_ON,DATA-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000101,COMP-0013,HOSTED_ON,CLOUD-0013,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000102,COMP-0013,ROUTED_THROUGH,INFRA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000103,COMP-0014,PART_OF,SVC-0014,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000104,COMP-0014,HOSTED_ON,CLOUD-0014,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000105,COMP-0015,PART_OF,SVC-0015,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000106,COMP-0015,DEPENDS_ON,DATA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000107,COMP-0015,HOSTED_ON,CLOUD-0015,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000108,COMP-0016,PART_OF,SVC-0016,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000109,COMP-0016,HOSTED_ON,CLOUD-0016,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000110,COMP-0016,ROUTED_THROUGH,INFRA-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000111,COMP-0017,PART_OF,SVC-0017,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000112,COMP-0017,DEPENDS_ON,DATA-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000113,COMP-0017,HOSTED_ON,CLOUD-0017,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000114,COMP-0018,PART_OF,SVC-0018,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000115,COMP-0018,HOSTED_ON,CLOUD-0018,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000116,COMP-0019,PART_OF,SVC-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000117,COMP-0019,DEPENDS_ON,DATA-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000118,COMP-0019,HOSTED_ON,CLOUD-0019,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000119,COMP-0019,ROUTED_THROUGH,INFRA-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000120,COMP-0020,PART_OF,SVC-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000121,COMP-0020,HOSTED_ON,CLOUD-0020,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000122,COMP-0021,PART_OF,SVC-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000123,COMP-0021,DEPENDS_ON,DATA-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000124,COMP-0021,HOSTED_ON,CLOUD-0021,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000125,COMP-0022,PART_OF,SVC-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000126,COMP-0022,HOSTED_ON,CLOUD-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000127,COMP-0022,ROUTED_THROUGH,INFRA-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000128,COMP-0023,PART_OF,SVC-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000129,COMP-0023,DEPENDS_ON,DATA-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000130,COMP-0023,HOSTED_ON,CLOUD-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000131,COMP-0024,PART_OF,SVC-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000132,COMP-0024,HOSTED_ON,CLOUD-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000133,COMP-0025,PART_OF,SVC-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000134,COMP-0025,DEPENDS_ON,DATA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000135,COMP-0025,HOSTED_ON,CLOUD-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000136,COMP-0025,ROUTED_THROUGH,INFRA-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000137,COMP-0026,PART_OF,SVC-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000138,COMP-0026,HOSTED_ON,CLOUD-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000139,COMP-0027,PART_OF,SVC-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000140,COMP-0027,DEPENDS_ON,DATA-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000141,COMP-0027,HOSTED_ON,CLOUD-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000142,COMP-0028,PART_OF,SVC-0010,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000143,COMP-0028,HOSTED_ON,CLOUD-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000144,COMP-0028,ROUTED_THROUGH,INFRA-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000145,COMP-0029,PART_OF,SVC-0011,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000146,COMP-0029,DEPENDS_ON,DATA-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000147,COMP-0029,HOSTED_ON,CLOUD-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000148,COMP-0030,PART_OF,SVC-0012,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000149,COMP-0030,HOSTED_ON,CLOUD-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000150,SVC-0001,DEPENDS_ON,VENDOR-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000151,SVC-0001,ROUTED_THROUGH,INFRA-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000152,SVC-0001,OWNED_BY,TEAM-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000153,SVC-0002,OWNED_BY,TEAM-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000154,SVC-0003,OWNED_BY,TEAM-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000155,SVC-0004,OWNED_BY,TEAM-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000156,SVC-0005,DEPENDS_ON,VENDOR-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000157,SVC-0005,OWNED_BY,TEAM-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000158,SVC-0006,ROUTED_THROUGH,INFRA-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000159,SVC-0006,OWNED_BY,TEAM-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000160,SVC-0007,OWNED_BY,TEAM-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000161,SVC-0008,OWNED_BY,TEAM-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000162,SVC-0009,DEPENDS_ON,VENDOR-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000163,SVC-0009,OWNED_BY,TEAM-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000164,SVC-0010,OWNED_BY,TEAM-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000165,SVC-0011,ROUTED_THROUGH,INFRA-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000166,SVC-0011,OWNED_BY,TEAM-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000167,SVC-0012,OWNED_BY,TEAM-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000168,SVC-0013,DEPENDS_ON,VENDOR-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000169,SVC-0013,OWNED_BY,TEAM-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000170,SVC-0014,OWNED_BY,TEAM-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000171,SVC-0015,OWNED_BY,TEAM-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000172,SVC-0016,ROUTED_THROUGH,INFRA-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000173,SVC-0016,OWNED_BY,TEAM-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000174,SVC-0017,DEPENDS_ON,VENDOR-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000175,SVC-0017,OWNED_BY,TEAM-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000176,SVC-0018,OWNED_BY,TEAM-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000177,POL-0001,MODIFIES,INFRA-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000178,INFRA-0001,OWNED_BY,TEAM-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000179,POL-0002,MODIFIES,INFRA-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000180,INFRA-0002,OWNED_BY,TEAM-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000181,POL-0003,MODIFIES,INFRA-0003,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000182,INFRA-0003,OWNED_BY,TEAM-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000183,POL-0004,MODIFIES,INFRA-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000184,INFRA-0004,OWNED_BY,TEAM-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000185,POL-0001,MODIFIES,INFRA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000186,INFRA-0005,OWNED_BY,TEAM-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000187,POL-0002,MODIFIES,INFRA-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000188,INFRA-0006,OWNED_BY,TEAM-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000189,POL-0003,MODIFIES,INFRA-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000190,INFRA-0007,OWNED_BY,TEAM-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000191,POL-0004,MODIFIES,INFRA-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000192,INFRA-0008,OWNED_BY,TEAM-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000193,COMP-0029,DEPENDS_ON,COMP-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000194,COMP-0017,DEPENDS_ON,DATA-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000195,SVC-0017,ROUTED_THROUGH,INFRA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000196,SVC-0001,AUTHENTICATES_WITH,INFRA-0008,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000197,SVC-0004,DEPENDS_ON,VENDOR-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000198,CLOUD-0005,CONNECTED_TO,INFRA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000199,DATA-0004,REPLICATES_TO,DATA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000200,POL-0002,APPLIES_TO,COMP-0030,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000201,POL-0001,APPLIES_TO,SVC-0005,DISCOVERED,0.938,ACTIVE,SYNTHETIC
REL-000202,TEAM-0001,SUPPORTS,SVC-0016,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000203,COMP-0030,DEPENDS_ON,COMP-0009,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000204,COMP-0003,DEPENDS_ON,DATA-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000205,SVC-0017,DEPENDS_ON,SVC-0010,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000206,SVC-0006,ROUTED_THROUGH,INFRA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000207,SVC-0018,AUTHENTICATES_WITH,INFRA-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000208,SVC-0014,DEPENDS_ON,VENDOR-0001,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000209,CLOUD-0004,CONNECTED_TO,INFRA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000210,DATA-0004,REPLICATES_TO,DATA-0008,DISCOVERED,0.678,ACTIVE,SYNTHETIC
REL-000211,POL-0002,APPLIES_TO,COMP-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000212,POL-0003,APPLIES_TO,SVC-0011,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000213,TEAM-0003,SUPPORTS,SVC-0015,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000214,COMP-0017,DEPENDS_ON,COMP-0028,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000215,COMP-0002,DEPENDS_ON,DATA-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000216,SVC-0008,ROUTED_THROUGH,INFRA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000217,SVC-0017,AUTHENTICATES_WITH,INFRA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000218,SVC-0002,DEPENDS_ON,VENDOR-0004,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000219,CLOUD-0020,CONNECTED_TO,INFRA-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000220,DATA-0006,REPLICATES_TO,DATA-0010,DISCOVERED,0.666,ACTIVE,SYNTHETIC
REL-000221,POL-0004,APPLIES_TO,COMP-0007,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000222,POL-0002,APPLIES_TO,SVC-0015,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000223,TEAM-0002,SUPPORTS,SVC-0008,DISCOVERED,0.889,ACTIVE,SYNTHETIC
REL-000224,COMP-0001,DEPENDS_ON,COMP-0027,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000225,COMP-0028,DEPENDS_ON,DATA-0005,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000226,SVC-0013,DEPENDS_ON,SVC-0015,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000227,SVC-0012,ROUTED_THROUGH,INFRA-0006,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000228,SVC-0011,AUTHENTICATES_WITH,INFRA-0006,DISCOVERED,0.755,ACTIVE,SYNTHETIC
REL-000229,SVC-0002,DEPENDS_ON,VENDOR-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
REL-000230,CLOUD-0019,CONNECTED_TO,INFRA-0002,AUTHORITATIVE,1.0,ACTIVE,SYNTHETIC
