entity_id,entity_type,name,region,business_unit,criticality,service_provider_type,trust_level,lifecycle_status,data_classification
CLOUD-0015,CLOUD_RESOURCE,Cloud Resource 0015,GLOBAL,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0016,CLOUD_RESOURCE,Cloud Resource 0016,AP-SOUTH,Data,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0017,CLOUD_RESOURCE,Cloud Resource 0017,US-WEST,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0018,CLOUD_RESOURCE,Cloud Resource 0018,AP-SOUTH,Legal,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0019,CLOUD_RESOURCE,Cloud Resource 0019,AP-NORTHEAST,Engineering,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0020,CLOUD_RESOURCE,Cloud Resource 0020,GLOBAL,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
CLOUD-0021,CLOUD_RESOURCE,Cloud Resource 0021,AP-SOUTH,Corporate,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0001,DATA_STORE,Data Store 0001,US-EAST,Support,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0002,DATA_STORE,Data Store 0002,US-WEST,Commerce,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0003,DATA_STORE,Data Store 0003,AP-SOUTH,Support,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0004,DATA_STORE,Data Store 0004,AP-SOUTH,Security,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0005,DATA_STORE,Data Store 0005,EU-CENTRAL,Security,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0006,DATA_STORE,Data Store 0006,US-EAST,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0007,DATA_STORE,Data Store 0007,EU-WEST,Corporate,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0008,DATA_STORE,Data Store 0008,GLOBAL,Data,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0009,DATA_STORE,Data Store 0009,US-WEST,Corporate,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
DATA-0010,DATA_STORE,Data Store 0010,AP-SOUTH,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
INFRA-0001,SHARED_INFRASTRUCTURE,Shared Infrastructure 0001,LATAM,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
INFRA-0002,SHARED_INFRASTRUCTURE,Shared Infrastructure 0002,AP-NORTHEAST,Security,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
INFRA-0003,SHARED_INFRASTRUCTURE,Shared Infrastructure 0003,AP-SOUTH,Support,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
INFRA-0004,SHARED_INFRASTRUCTURE,Shared Infrastructure 0004,EU-CENTRAL,Sales,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
INFRA-0005,SHARED_INFRASTRUCTURE,Shared Infrastructure 0005,US-EAST,Support,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
INFRA-0006,SHARED_INFRASTRUCTURE,Shared Infrastructure 0006,US-WEST,Commerce,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
INFRA-0007,SHARED_INFRASTRUCTURE,Shared Infrastructure 0007,AP-SOUTH,Engineering,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
INFRA-0008,SHARED_INFRASTRUCTURE,Shared Infrastructure 0008,EU-WEST,Manufacturing,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
VENDOR-0001,EXTERNAL_VENDOR_SERVICE,External Vendor Service 0001,GLOBAL,Finance,HIGH,EXTERNAL_VENDOR,TRUSTED,ACTIVE,SYNTHETIC
VENDOR-0002,EXTERNAL_VENDOR_SERVICE,External Vendor Service 0002,GLOBAL,Manufacturing,CRITICAL,EXTERNAL_VENDOR,TRUSTED,ACTIVE,SYNTHETIC
VENDOR-0003,EXTERNAL_VENDOR_SERVICE,External Vendor Service 0003,GLOBAL,Support,CRITICAL,EXTERNAL_VENDOR,TRUSTED,ACTIVE,SYNTHETIC
VENDOR-0004,EXTERNAL_VENDOR_SERVICE,External Vendor Service 0004,GLOBAL,Security,MEDIUM,EXTERNAL_VENDOR,TRUSTED,ACTIVE,SYNTHETIC
TEAM-0001,SUPPORT_TEAM,Support Team 0001,AP-NORTHEAST,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
TEAM-0002,SUPPORT_TEAM,Support Team 0002,AP-NORTHEAST,Support,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
TEAM-0003,SUPPORT_TEAM,Support Team 0003,LATAM,Commerce,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
TEAM-0004,SUPPORT_TEAM,Support Team 0004,LATAM,Supply Chain,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
TEAM-0005,SUPPORT_TEAM,Support Team 0005,LATAM,Security,CRITICAL,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
TEAM-0006,SUPPORT_TEAM,Support Team 0006,EU-WEST,Finance,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
TEAM-0007,SUPPORT_TEAM,Support Team 0007,LATAM,Legal,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
POL-0001,POLICY_OR_CREDENTIAL,Policy Or Credential 0001,US-EAST,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
POL-0002,POLICY_OR_CREDENTIAL,Policy Or Credential 0002,US-WEST,Data,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
POL-0003,POLICY_OR_CREDENTIAL,Policy Or Credential 0003,US-WEST,HR,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
POL-0004,POLICY_OR_CREDENTIAL,Policy Or Credential 0004,US-WEST,Finance,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
