change_id,entity_id,implemented_at,risk,change_type,state,data_classification
CHG-000123,POL-0002,2024-01-02T07:44:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000134,VENDOR-0001,2024-01-02T13:14:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000135,VENDOR-0004,2024-01-02T12:55:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000138,VENDOR-0001,2024-01-02T13:18:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000139,VENDOR-0004,2024-01-02T12:06:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000141,VENDOR-0002,2024-01-02T15:11:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000149,VENDOR-0002,2024-01-02T15:04:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000153,VENDOR-0002,2024-01-02T18:27:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000154,VENDOR-0001,2024-01-02T17:58:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000162,VENDOR-0001,2024-01-02T20:25:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000166,VENDOR-0001,2024-01-02T21:36:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000177,VENDOR-0002,2024-01-03T00:59:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000178,VENDOR-0001,2024-01-03T00:01:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000183,VENDOR-0004,2024-01-03T02:25:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000189,INFRA-0005,2024-01-03T02:25:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000194,INFRA-0008,2024-01-03T03:56:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000197,INFRA-0005,2024-01-03T05:09:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000198,INFRA-0004,2024-01-03T05:05:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000205,INFRA-0005,2024-01-03T08:54:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000207,INFRA-0003,2024-01-03T08:44:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000210,INFRA-0008,2024-01-03T08:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000225,INFRA-0001,2024-01-03T12:58:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000231,INFRA-0003,2024-01-03T16:22:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000235,INFRA-0007,2024-01-03T16:14:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000236,INFRA-0006,2024-01-03T15:23:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000238,INFRA-0004,2024-01-03T18:50:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000240,INFRA-0002,2024-01-03T19:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000243,INFRA-0007,2024-01-03T20:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000244,INFRA-0006,2024-01-03T17:55:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000245,INFRA-0005,2024-01-03T19:10:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000247,INFRA-0003,2024-01-03T20:48:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000253,INFRA-0005,2024-01-03T21:35:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000261,INFRA-0005,2024-01-04T01:06:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000263,INFRA-0003,2024-01-04T01:29:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000268,INFRA-0006,2024-01-04T02:12:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000276,INFRA-0006,2024-01-04T03:59:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000278,INFRA-0004,2024-01-04T04:50:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000280,INFRA-0002,2024-01-04T05:42:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000290,INFRA-0008,2024-01-04T08:57:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000295,INFRA-0003,2024-01-04T08:36:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000301,INFRA-0005,2024-01-04T12:34:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000310,VENDOR-0001,2024-01-04T13:11:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000317,VENDOR-0002,2024-01-04T16:51:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000319,VENDOR-0004,2024-01-04T16:32:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000321,VENDOR-0002,2024-01-04T17:51:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000322,VENDOR-0001,2024-01-04T18:44:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000324,VENDOR-0003,2024-01-04T18:16:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000329,VENDOR-0002,2024-01-04T17:49:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000337,VENDOR-0002,2024-01-04T21:57:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000342,VENDOR-0001,2024-01-04T23:03:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000345,VENDOR-0002,2024-01-04T23:16:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000347,VENDOR-0004,2024-01-04T23:20:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000351,VENDOR-0004,2024-01-05T01:16:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000360,VENDOR-0003,2024-01-05T05:15:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000367,VENDOR-0004,2024-01-05T07:26:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000370,VENDOR-0001,2024-01-05T08:04:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000371,VENDOR-0004,2024-01-05T06:37:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000372,VENDOR-0003,2024-01-05T05:58:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000383,VENDOR-0004,2024-01-05T11:07:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000387,VENDOR-0004,2024-01-05T11:53:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000391,VENDOR-0004,2024-01-05T12:42:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000396,VENDOR-0003,2024-01-05T15:11:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000398,VENDOR-0001,2024-01-05T13:32:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000402,VENDOR-0001,2024-01-05T16:13:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000405,VENDOR-0002,2024-01-05T17:41:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000416,VENDOR-0003,2024-01-05T19:27:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000418,VENDOR-0001,2024-01-05T21:05:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000421,VENDOR-0002,2024-01-05T20:20:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000424,VENDOR-0003,2024-01-05T23:28:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000425,VENDOR-0002,2024-01-05T22:54:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000430,VENDOR-0001,2024-01-05T22:27:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000433,VENDOR-0002,2024-01-06T00:32:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000437,VENDOR-0002,2024-01-06T01:38:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000441,VENDOR-0002,2024-01-06T03:56:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000443,VENDOR-0004,2024-01-06T04:14:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000451,VENDOR-0004,2024-01-06T05:52:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000456,VENDOR-0003,2024-01-06T06:06:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000458,VENDOR-0001,2024-01-06T08:12:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000459,VENDOR-0004,2024-01-06T08:42:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000461,VENDOR-0002,2024-01-06T07:32:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000462,VENDOR-0001,2024-01-06T08:06:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000467,VENDOR-0004,2024-01-06T10:50:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000468,VENDOR-0003,2024-01-06T11:56:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000470,VENDOR-0001,2024-01-06T11:50:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000478,VENDOR-0001,2024-01-06T12:49:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000493,VENDOR-0002,2024-01-06T16:22:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000496,VENDOR-0003,2024-01-06T18:34:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000497,VENDOR-0002,2024-01-06T18:12:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000509,COMP-0020,2024-01-06T21:06:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000518,COMP-0023,2024-01-06T23:48:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000523,COMP-0028,2024-01-07T02:58:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000527,COMP-0026,2024-01-07T04:25:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000530,COMP-0017,2024-01-07T04:55:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000533,COMP-0008,2024-01-07T06:20:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000536,COMP-0029,2024-01-07T05:23:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000538,COMP-0013,2024-01-07T07:39:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000539,COMP-0020,2024-01-07T06:20:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000550,COMP-0007,2024-01-07T08:31:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000554,COMP-0005,2024-01-07T11:37:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000555,COMP-0012,2024-01-07T10:49:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000558,COMP-0003,2024-01-07T11:21:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000566,COMP-0029,2024-01-07T13:29:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000567,COMP-0006,2024-01-07T15:24:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000568,COMP-0013,2024-01-07T14:28:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000569,COMP-0020,2024-01-07T16:30:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000570,COMP-0027,2024-01-07T15:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000574,COMP-0025,2024-01-07T17:16:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000578,COMP-0023,2024-01-07T17:36:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000585,COMP-0012,2024-01-07T20:13:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000586,COMP-0019,2024-01-07T19:03:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000587,COMP-0026,2024-01-07T19:27:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000599,COMP-0020,2024-01-07T23:38:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000601,COMP-0004,2024-01-08T01:22:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000605,COMP-0002,2024-01-08T02:55:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000607,COMP-0016,2024-01-08T02:02:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000608,COMP-0023,2024-01-08T01:26:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000610,COMP-0007,2024-01-08T02:06:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000611,COMP-0014,2024-01-08T03:08:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000615,COMP-0012,2024-01-08T03:21:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000617,COMP-0026,2024-01-08T04:54:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000622,COMP-0001,2024-01-08T07:29:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000624,COMP-0015,2024-01-08T05:47:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000628,COMP-0013,2024-01-08T08:19:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000631,COMP-0004,2024-01-08T10:17:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000632,COMP-0011,2024-01-08T08:32:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000633,COMP-0018,2024-01-08T10:49:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000634,COMP-0025,2024-01-08T10:27:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000636,COMP-0009,2024-01-08T09:08:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000639,COMP-0030,2024-01-08T10:44:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000641,COMP-0014,2024-01-08T10:42:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000644,COMP-0005,2024-01-08T12:10:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000651,COMP-0024,2024-01-08T12:59:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000652,COMP-0001,2024-01-08T14:32:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000655,DATA-0010,2024-01-08T16:39:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000660,DATA-0005,2024-01-08T15:35:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000670,DATA-0005,2024-01-08T18:42:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000677,DATA-0004,2024-01-08T22:38:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000684,DATA-0003,2024-01-08T23:40:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000687,DATA-0004,2024-01-09T00:52:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000697,DATA-0004,2024-01-09T03:59:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000714,DATA-0003,2024-01-09T09:42:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000716,DATA-0007,2024-01-09T07:30:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000719,DATA-0008,2024-01-09T08:58:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000721,DATA-0002,2024-01-09T10:22:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000723,DATA-0006,2024-01-09T11:18:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000729,DATA-0008,2024-01-09T12:03:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000730,DATA-0005,2024-01-09T13:00:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000741,DATA-0002,2024-01-09T16:14:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000744,DATA-0003,2024-01-09T15:51:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000747,DATA-0004,2024-01-09T16:24:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000748,DATA-0001,2024-01-09T17:44:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000753,DATA-0006,2024-01-09T18:41:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000755,DATA-0010,2024-01-09T19:30:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000757,DATA-0004,2024-01-09T20:10:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000759,DATA-0008,2024-01-09T21:29:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000761,DATA-0002,2024-01-09T22:16:00+00:00,HIGH,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000762,DATA-0009,2024-01-09T23:07:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000769,DATA-0008,2024-01-09T22:33:00+00:00,MEDIUM,STANDARD,IMPLEMENTED,SYNTHETIC
CHG-000774,POL-0004,2024-01-10T01:53:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000775,POL-0003,2024-01-10T00:30:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000776,POL-0002,2024-01-10T01:18:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000780,POL-0002,2024-01-10T02:04:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000785,POL-0001,2024-01-10T04:17:00+00:00,HIGH,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000786,POL-0004,2024-01-10T05:46:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000790,POL-0004,2024-01-10T04:58:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
CHG-000799,POL-0003,2024-01-10T09:23:00+00:00,MEDIUM,POLICY,IMPLEMENTED,SYNTHETIC
